Arguments count: 1
Argument      0: ./run-monarch.py
----------------------------------------
2000 households, 0 dependent tasks, 10 fully flexible tasks, 0 semi-flexible tasks, 0 fixed tasks, 1 penalty weight. 
----------------------------------------
0. The community is created. 
0. Aggregator is created. 
40. Best step size 0.0, 4 iterations, cost 992852056.64, using ogsa_fw
41. Best step size 0.0, 4 iterations, cost 992831538.1, using ogsa_fw
42. Best step size 0.001, 11 iterations, cost 992813535.87, using ogsa_fw
43. Best step size 0.0, 5 iterations, cost 992807934.08, using ogsa_fw
44. Best step size 0.0, 9 iterations, cost 992801276.94, using ogsa_fw
45. Best step size 0.0, 8 iterations, cost 992798183.79, using ogsa_fw
46. Best step size 0.0, 12 iterations, cost 992791032.52, using ogsa_fw
47. Best step size 0.0, 10 iterations, cost 992788075.79, using ogsa_fw
48. Best step size 0.0, 7 iterations, cost 992786301.64, using ogsa_fw
49. Best step size 0.0, 10 iterations, cost 992784548.61, using ogsa_fw
50. Best step size 0.0, 11 iterations, cost 992782929.01, using ogsa_fw
51. Best step size 0.0, 8 iterations, cost 992782007.87, using ogsa_fw
52. Best step size 0.0, 9 iterations, cost 992780952.59, using ogsa_fw
53. Best step size 0.0, 12 iterations, cost 992778182.22, using ogsa_fw
54. Best step size 0.0, 11 iterations, cost 992775123.93, using ogsa_fw
55. Best step size 0.0, 11 iterations, cost 992761268.29, using ogsa_fw
56. Best step size 0.001, 15 iterations, cost 992744085.55, using ogsa_fw
57. Best step size 0.0, 12 iterations, cost 992734871.03, using ogsa_fw
58. Best step size 0.0, 10 iterations, cost 992725305.28, using ogsa_fw
59. Best step size 0.0, 10 iterations, cost 992720936.48, using ogsa_fw
60. Best step size 0.0, 12 iterations, cost 992716971.58, using ogsa_fw
61. Best step size 0.0, 6 iterations, cost 992716382.27, using ogsa_fw
62. Best step size 0.0, 6 iterations, cost 992715639.68, using ogsa_fw
63. Best step size 0.0, 9 iterations, cost 992714924.18, using ogsa_fw
64. Best step size 0.0, 12 iterations, cost 992713607.32, using ogsa_fw
65. Best step size 0.0, 9 iterations, cost 992712419.48, using ogsa_fw
66. Best step size 0.0, 8 iterations, cost 992711802.86, using ogsa_fw
67. Best step size 0.0, 15 iterations, cost 992708308.22, using ogsa_fw
68. Best step size 0.0, 10 iterations, cost 992703998.68, using ogsa_fw
69. Best step size 0.0, 7 iterations, cost 992702878.67, using ogsa_fw
70. Best step size 0.0, 8 iterations, cost 992702367.24, using ogsa_fw
71. Best step size 0.0, 5 iterations, cost 992701585.87, using ogsa_fw
72. Best step size 0.0, 16 iterations, cost 992695966.84, using ogsa_fw
73. Best step size 0.0, 11 iterations, cost 992691677.29, using ogsa_fw
74. Best step size 0.0, 12 iterations, cost 992683482.49, using ogsa_fw
75. Best step size 0.0, 9 iterations, cost 992680937.57, using ogsa_fw
76. Best step size 0.0, 9 iterations, cost 992679393.15, using ogsa_fw
77. Best step size 0.0, 8 iterations, cost 992678263.93, using ogsa_fw
78. Best step size 0.0, 9 iterations, cost 992677246.47, using ogsa_fw
79. Best step size 0.0, 6 iterations, cost 992677006.96, using ogsa_fw
80. Best step size 0.0, 9 iterations, cost 992676597.69, using ogsa_fw
81. Best step size 0.0, 9 iterations, cost 992676240.24, using ogsa_fw
82. Best step size 0.0, 13 iterations, cost 992675380.17, using ogsa_fw
83. Best step size 0.0, 9 iterations, cost 992674974.79, using ogsa_fw
84. Best step size 0.0, 10 iterations, cost 992674671.7, using ogsa_fw
85. Best step size 0.0, 8 iterations, cost 992674569.09, using ogsa_fw
86. Best step size 0.0, 10 iterations, cost 992674458.23, using ogsa_fw
87. Best step size 0.0, 13 iterations, cost 992674314.01, using ogsa_fw
88. Best step size 0.0, 8 iterations, cost 992674270.98, using ogsa_fw
89. Best step size 0.0, 9 iterations, cost 992674234.57, using ogsa_fw
90. Best step size 0.0, 7 iterations, cost 992674219.9, using ogsa_fw
91. Best step size 0.0, 7 iterations, cost 992674205.89, using ogsa_fw
92. Best step size 0.0, 12 iterations, cost 992674146.45, using ogsa_fw
93. Best step size 0.0, 11 iterations, cost 992674070.97, using ogsa_fw
94. Best step size 0.0, 11 iterations, cost 992674023.05, using ogsa_fw
95. Best step size 0.0, 11 iterations, cost 992673939.44, using ogsa_fw
96. Best step size 0.0, 7 iterations, cost 992673856.85, using ogsa_fw
97. Best step size 0.0, 9 iterations, cost 992673815.25, using ogsa_fw
98. Best step size 0.0, 10 iterations, cost 992673774.69, using ogsa_fw
99. Best step size 0.0, 7 iterations, cost 992673762.55, using ogsa_fw
100. Best step size 0.0, 18 iterations, cost 992673599.92, using ogsa_fw
101. Best step size 0.0, 9 iterations, cost 992673525.06, using ogsa_fw
102. Best step size 0.0, 8 iterations, cost 992673491.1, using ogsa_fw
103. Best step size 0.0, 7 iterations, cost 992673475.08, using ogsa_fw
104. Best step size 0.0, 11 iterations, cost 992673450.97, using ogsa_fw
105. Best step size 0.0, 10 iterations, cost 992673429.27, using ogsa_fw
106. Best step size 0.0, 7 iterations, cost 992673421.21, using ogsa_fw
107. Best step size 0.0, 10 iterations, cost 992673400.72, using ogsa_fw
108. Best step size 0.0, 10 iterations, cost 992673393.32, using ogsa_fw
109. Best step size 0.0, 5 iterations, cost 992673388.39, using ogsa_fw
110. Best step size 0.0, 10 iterations, cost 992673383.12, using ogsa_fw
111. Best step size 0.0, 3 iterations, cost 992673381.75, using ogsa_fw
112. Best step size 0.0, 4 iterations, cost 992673380.7, using ogsa_fw
113. Best step size 0.0, 6 iterations, cost 992673379.02, using ogsa_fw
114. Best step size 0.0, 6 iterations, cost 992673377.23, using ogsa_fw
115. Best step size 0.0, 3 iterations, cost 992673376.24, using ogsa_fw
116. Best step size 0.0, 4 iterations, cost 992673375.43, using ogsa_fw
117. Best step size 0.0, 3 iterations, cost 992673373.97, using ogsa_fw
118. Best step size 0.0, 5 iterations, cost 992673372.96, using ogsa_fw
119. Best step size 0.0, 2 iterations, cost 992673372.65, using ogsa_fw
120. Best step size 0.0, 2 iterations, cost 992673372.28, using ogsa_fw
121. Best step size 0.0, 4 iterations, cost 992673371.69, using ogsa_fw
122. Best step size 0.0, 1 iterations, cost 992673371.57, using ogsa_fw
123. Best step size 0.0, 1 iterations, cost 992673371.41, using ogsa_fw
124. Best step size 0.0, 7 iterations, cost 992673368.74, using ogsa_fw
125. Best step size 0.0, 8 iterations, cost 992673365.12, using ogsa_fw
126. Best step size 0.0, 6 iterations, cost 992673362.89, using ogsa_fw
127. Best step size 0.0, 6 iterations, cost 992673361.09, using ogsa_fw
128. Best step size 0.0, 12 iterations, cost 992673354.54, using ogsa_fw
129. Best step size 0.0, 4 iterations, cost 992673351.8, using ogsa_fw
130. Best step size 0.0, 4 iterations, cost 992673349.56, using ogsa_fw
131. Best step size 0.0, 3 iterations, cost 992673348.23, using ogsa_fw
132. Best step size 0.0, 5 iterations, cost 992673346.57, using ogsa_fw
133. Best step size 0.0, 4 iterations, cost 992673345.51, using ogsa_fw
134. Best step size 0.0, 3 iterations, cost 992673344.64, using ogsa_fw
135. Best step size 0.0, 2 iterations, cost 992673344.46, using ogsa_fw
136. Best step size 0.0, 1 iterations, cost 992673343.9, using ogsa_fw
137. Best step size 0.0, 2 iterations, cost 992673343.66, using ogsa_fw
138. Best step size 0.0, 2 iterations, cost 992673343.5, using ogsa_fw
139. Best step size 0.0, 5 iterations, cost 992673342.18, using ogsa_fw
140. Best step size 0.0, 4 iterations, cost 992673341.35, using ogsa_fw
141. Best step size 0.0, 3 iterations, cost 992673340.85, using ogsa_fw
142. Best step size 0.0, 3 iterations, cost 992673340.26, using ogsa_fw
143. Best step size 0.0, 4 iterations, cost 992673339.62, using ogsa_fw
144. Best step size 0.0, 5 iterations, cost 992673337.88, using ogsa_fw
145. Best step size 0.0, 7 iterations, cost 992673335.54, using ogsa_fw
146. Best step size 0.0, 4 iterations, cost 992673333.77, using ogsa_fw
147. Best step size 0.0, 3 iterations, cost 992673333.48, using ogsa_fw
148. Best step size 0.0, 5 iterations, cost 992673332.4, using ogsa_fw
