,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
121,115,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,3978759.0,3493502.9,160629046.0,0.12,0.14,0.006125925925925924,4.632344444444446,1.0,,
122,116,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,4247562.0,3877919.88,162456915.0,0.09,0.08,0.019719999999999998,5189.3499900000015,0.0,,
123,117,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,4247562.0,3486434.95,162456915.0,0.18,0.1,0.0075133333333333345,5.08389,1.0,,
124,118,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,4026422.0,3687077.4,160662785.0,0.08,0.11,0.0181,6642.14996,0.0,,
125,119,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,4026422.0,3447785.54,160662785.0,0.14,0.14,0.007996296296296295,4.6959888888888885,1.0,,
126,0,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,3994580.0,3590346.49,159713784.0,0.1,0.1,0.017194117647058825,5438.268811764707,,,
127,1,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,3994580.0,3423787.25,159713784.0,0.14,0.12,0.006727586206896553,5.063531034482762,,,
128,0,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,4037331.0,3764453.44,161599524.0,0.07,0.11,0.02335,7272.223283333333,,,
129,1,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,4037331.0,3454525.68,161599524.0,0.14,0.13,0.007351724137931034,4.403541379310345,,,
130,0,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,4264142.0,3963805.24,161350720.0,0.07,0.07,0.0256,5378.062475,,,
131,1,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,4264142.0,3624129.13,161350720.0,0.15,0.09,0.00913333333333333,4.4694370370370375,,,
132,0,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,4014031.0,3763916.31,163810593.0,0.06,0.11,0.017518181818181818,4362.1509,,,
133,1,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,4014031.0,3496384.28,163810593.0,0.13,0.13,0.005665517241379309,4.6672551724137925,,,
134,0,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,3940537.0,3698044.82,164285749.0,0.06,0.13,0.01831875,5622.9155875,,,
