,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
2000.0,3.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
4000.0,3.0,Preferred,PAR,1.26,1.26,1.26
4000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
4000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
4000.0,3.0,Optimised,PAR,1.1,1.1,1.1
4000.0,3.0,Optimised,Demand Reduction,0.13,0.13,0.13
4000.0,3.0,Optimised,Cost Reduction,0.07,0.07,0.07
4000.0,3.0,Actual,PAR,1.09,1.12,1.13
4000.0,3.0,Actual,PAR Distance,0.010000000000000009,0.020000000000000018,0.029999999999999805
4000.0,3.0,Actual,Demand Reduction,0.11,0.11,0.13
4000.0,3.0,Actual,Demand Reduction Distance,0.0,0.020000000000000004,0.020000000000000004
